molecule,functional,lambda_abs_max,solvent
BOH-Acr_m,SCS-PBE-QIDH,2.9296831994328922,dichloromethane
BOH-Acr_m,PBE-D3,1.8417,dichloromethane
BOH-Acr_m,B3LYP-D3,2.6722,dichloromethane
BOH-Acr_m,DSD-BLYP,2.013057200844293,dichloromethane
BOH-Acr_m,$\omega$-B97XD,3.3191,dichloromethane
BOH-Acr_m,TDHF,3.9739,dichloromethane
BOH-Acr_m,M062X,3.2683,dichloromethane
BOH-Acr_m,$\omega$-PBEPP86,3.0336235135796428,dichloromethane
BOH-Acr_m,M06,2.8844,dichloromethane
BOH-Acr_m,CAM-B3LYP-D3,3.3102,dichloromethane
BOH-Acr_m,B2GP-PLYP,2.949195837297812,dichloromethane
BOH-Acr_m,B97D3,1.89,dichloromethane
BOH-Acr_m,TPSS,1.9567,dichloromethane
BOH-Acr_m,B2PLYP,2.8833533255813957,dichloromethane
BOH-Acr_m,M06L,2.1091,dichloromethane
BOH-Acr_m,$\omega$-B2PLYP,3.2414168104575163,dichloromethane
BF3-Acr_p,M062X,3.213,dichloromethane
BF3-Acr_p,M06L,2.2351,dichloromethane
BF3-Acr_p,M06,2.8251,dichloromethane
BF3-Acr_p,SCS-PBE-QIDH,2.8746624855089267,dichloromethane
BF3-Acr_p,DSD-BLYP,1.9095055136300634,dichloromethane
BF3-Acr_p,$\omega$-B2PLYP,3.1987665892672856,dichloromethane
BF3-Acr_p,PBE-D3,1.9671,dichloromethane
BF3-Acr_p,TDHF,3.9906,dichloromethane
BF3-Acr_p,$\omega$-B97XD,3.2899,dichloromethane
BF3-Acr_p,B97D3,2.0129,dichloromethane
BF3-Acr_p,B2PLYP,2.813346789199002,dichloromethane
BF3-Acr_p,CAM-B3LYP-D3,3.263,dichloromethane
BF3-Acr_p,B3LYP-D3,2.7441,dichloromethane
BF3-Acr_p,$\omega$-PBEPP86,2.9825401250902095,dichloromethane
BF3-Acr_p,TPSS,2.0795,dichloromethane
BF3-Acr_p,B2GP-PLYP,2.889400908879049,dichloromethane
BF3-Acr_m,TDHF,3.9937,dichloromethane
BF3-Acr_m,M06L,2.2421,dichloromethane
BF3-Acr_m,$\omega$-PBEPP86,3.007864944201844,dichloromethane
BF3-Acr_m,DSD-BLYP,1.9479056245090338,dichloromethane
BF3-Acr_m,TPSS,2.0898,dichloromethane
BF3-Acr_m,M062X,3.2396,dichloromethane
BF3-Acr_m,B3LYP-D3,2.7961,dichloromethane
BF3-Acr_m,B97D3,2.0232,dichloromethane
BF3-Acr_m,PBE-D3,1.9766,dichloromethane
BF3-Acr_m,$\omega$-B2PLYP,3.2228799844034315,dichloromethane
BF3-Acr_m,B2PLYP,2.8495562629280626,dichloromethane
BF3-Acr_m,M06,2.8919,dichloromethane
BF3-Acr_m,SCS-PBE-QIDH,2.9022517088014985,dichloromethane
BF3-Acr_m,$\omega$-B97XD,3.3016,dichloromethane
BF3-Acr_m,CAM-B3LYP-D3,3.2812,dichloromethane
BF3-Acr_m,B2GP-PLYP,2.92002338671691,dichloromethane
BF3-Acr_o,M06L,2.3269,dichloromethane
BF3-Acr_o,M06,3.0167,dichloromethane
BF3-Acr_o,B2GP-PLYP,3.014446705567712,dichloromethane
BF3-Acr_o,B97D3,2.351,dichloromethane
BF3-Acr_o,PBE-D3,2.0438,dichloromethane
BF3-Acr_o,DSD-BLYP,2.023901289585374,dichloromethane
BF3-Acr_o,B3LYP-D3,2.8773,dichloromethane
BF3-Acr_o,SCS-PBE-QIDH,2.9918965492277994,dichloromethane
BF3-Acr_o,$\omega$-B2PLYP,3.3133135489043295,dichloromethane
BF3-Acr_o,CAM-B3LYP-D3,3.3601,dichloromethane
BF3-Acr_o,TPSS,2.4217,dichloromethane
BF3-Acr_o,$\omega$-B97XD,3.3735,dichloromethane
BF3-Acr_o,TDHF,4.0272,dichloromethane
BF3-Acr_o,M062X,3.3373,dichloromethane
BF3-Acr_o,$\omega$-PBEPP86,3.0957351560549315,dichloromethane
BF3-Acr_o,B2PLYP,2.949897525576969,dichloromethane
BOH-Acr_o,CAM-B3LYP-D3,3.2948,dichloromethane
BOH-Acr_o,DSD-BLYP,2.006216715210356,dichloromethane
BOH-Acr_o,PBE-D3,1.7916,dichloromethane
BOH-Acr_o,$\omega$-B97XD,3.3069,dichloromethane
BOH-Acr_o,$\omega$-B2PLYP,3.224556384915475,dichloromethane
BOH-Acr_o,TDHF,3.9535,dichloromethane
BOH-Acr_o,$\omega$-PBEPP86,3.0188505721938155,dichloromethane
BOH-Acr_o,M062X,3.2515,dichloromethane
BOH-Acr_o,B2PLYP,2.866686543352601,dichloromethane
BOH-Acr_o,SCS-PBE-QIDH,2.9152173289442747,dichloromethane
BOH-Acr_o,B3LYP-D3,2.9012,dichloromethane
BOH-Acr_o,B2GP-PLYP,2.933148639697185,dichloromethane
BOH-Acr_o,M06L,2.0644,dichloromethane
BOH-Acr_o,M06,2.8449,dichloromethane
BOH-Acr_o,TPSS,1.9161,dichloromethane
BOH-Acr_o,B97D3,1.8461,dichloromethane
BOH-Acr_p,CAM-B3LYP-D3,3.3148,dichloromethane
BOH-Acr_p,M06,2.8731,dichloromethane
BOH-Acr_p,M062X,3.2833,dichloromethane
BOH-Acr_p,PBE-D3,1.8246,dichloromethane
BOH-Acr_p,SCS-PBE-QIDH,2.9213994580584357,dichloromethane
BOH-Acr_p,DSD-BLYP,2.0104458083346843,dichloromethane
BOH-Acr_p,M06L,2.0907,dichloromethane
BOH-Acr_p,B2GP-PLYP,2.9394071360834517,dichloromethane
BOH-Acr_p,$\omega$-B97XD,3.3261,dichloromethane
BOH-Acr_p,TDHF,3.9702,dichloromethane
BOH-Acr_p,$\omega$-PBEPP86,3.0262190139126193,dichloromethane
BOH-Acr_p,B97D3,1.8732,dichloromethane
BOH-Acr_p,B3LYP-D3,2.6588,dichloromethane
BOH-Acr_p,TPSS,1.9397,dichloromethane
BOH-Acr_p,$\omega$-B2PLYP,3.2329646153846157,dichloromethane
BOH-Acr_p,B2PLYP,2.8719989112809823,dichloromethane
