molecule,functional,lambda_abs_max,solvent
PTZ_1,M06,3.653,DMAC
PTZ_1,PBE-D3,2.9345,DMAC
PTZ_1,M062X,3.966,DMAC
CA_2,M062X,2.8295,acetonitrile
CA_2,M06,2.2737,acetonitrile
CA_2,PBE-D3,1.5457,acetonitrile
NCE_3,M06,2.693,acetonitrile
NCE_3,M062X,3.0186,acetonitrile
NCE_3,PBE-D3,2.1956,acetonitrile
Ph-Acr_2,M062X,2.4674,acetonitrile
Ph-Acr_2,M06,2.2611,acetonitrile
Ph-Acr_2,PBE-D3,1.8041,acetonitrile
POZ_5,M062X,2.8042,DMAC
POZ_5,PBE-D3,1.8812,DMAC
POZ_5,M06,2.4421,DMAC
BOH-Acr_m,PBE-D3,2.3445,dichloromethane
BOH-Acr_m,M06,2.2781,dichloromethane
BOH-Acr_m,M062X,2.6918,dichloromethane
PDI_1,M062X,2.0488,dichloromethane
PDI_1,M06,1.8737,dichloromethane
PDI_1,PBE-D3,1.7038,dichloromethane
PA_1,PBE-D3,2.1705,DMFA
PA_1,M062X,3.4463,DMFA
PA_1,M06,3.0586,DMFA
Me2-Acr_1,M06,2.8961,DMFA
Me2-Acr_1,PBE-D3,2.0101,DMFA
Me2-Acr_1,M062X,3.4396,DMFA
PDI_3,M06,1.8007,dichloromethane
PDI_3,PBE-D3,1.359,dichloromethane
PDI_3,M062X,1.9408,dichloromethane
CA_3,M06,2.3398,acetonitrile
CA_3,PBE-D3,1.4263,acetonitrile
CA_3,M062X,2.9638,acetonitrile
NCE_2,M06,2.755,acetonitrile
NCE_2,M062X,3.1762,acetonitrile
NCE_2,PBE-D3,2.148,acetonitrile
PDI_2,M062X,2.0169,dichloromethane
PDI_2,M06,1.8189,dichloromethane
PDI_2,PBE-D3,1.6003,dichloromethane
NCE_1,M062X,3.158,acetonitrile
NCE_1,PBE-D3,2.3042,acetonitrile
NCE_1,M06,2.9362,acetonitrile
Me2-Acr_2,M06,2.7791,DMFA
Me2-Acr_2,M062X,3.0963,DMFA
Me2-Acr_2,PBE-D3,1.9162,DMFA
BF3-Acr_p,PBE-D3,2.1031,dichloromethane
BF3-Acr_p,M062X,2.6708,dichloromethane
BF3-Acr_p,M06,2.5023,dichloromethane
Eos_3,PBE-D3,0.694,acetonitrile
Eos_3,M062X,2.4853,acetonitrile
Eos_3,M06,2.3632,acetonitrile
Eos_Y,M062X,2.564,acetonitrile
Eos_Y,M06,2.657,acetonitrile
Eos_Y,PBE-D3,0.5863,acetonitrile
CA_1,PBE-D3,1.2795,acetonitrile
CA_1,M06,2.3279,acetonitrile
CA_1,M062X,2.9635,acetonitrile
Eos_1,M062X,2.4216,acetonitrile
Eos_1,PBE-D3,0.7079,acetonitrile
Eos_1,M06,2.3365,acetonitrile
Me2-Acr_3,M062X,2.9926,DMFA
Me2-Acr_3,PBE-D3,2.0653,DMFA
Me2-Acr_3,M06,2.6459,DMFA
Eos_2,M06,2.3407,acetonitrile
Eos_2,PBE-D3,0.6216,acetonitrile
Eos_2,M062X,2.4406,acetonitrile
POZ_3,PBE-D3,2.2441,DMAC
POZ_3,M062X,2.9988,DMAC
POZ_3,M06,2.7074,DMAC
BF3-Acr_m,M062X,2.6906,dichloromethane
BF3-Acr_m,M06,2.4292,dichloromethane
BF3-Acr_m,PBE-D3,2.1055,dichloromethane
BF3-Acr_o,M06,2.3893,dichloromethane
BF3-Acr_o,M062X,2.7533,dichloromethane
BF3-Acr_o,PBE-D3,2.1667,dichloromethane
Rh_B,PBE-D3,1.7858,ethanol
Rh_B,M062X,2.3678,ethanol
Rh_B,M06,2.3363,ethanol
BOH-Acr_o,M062X,2.6563,dichloromethane
BOH-Acr_o,PBE-D3,2.2941,dichloromethane
BOH-Acr_o,M06,2.6442,dichloromethane
PA_3,PBE-D3,2.0885,DMFA
PA_3,M062X,2.6262,DMFA
PA_3,M06,2.1066,DMFA
Mes-Acr_1,PBE-D3,1.6916,acetonitrile
Mes-Acr_1,M06,2.3557,acetonitrile
Mes-Acr_1,M062X,2.7566,acetonitrile
NCE_4,M062X,2.9358,acetonitrile
NCE_4,PBE-D3,1.8454,acetonitrile
NCE_4,M06,2.5902,acetonitrile
PTZ_3,M062X,3.022,DMAC
PTZ_3,PBE-D3,2.37,DMAC
PTZ_3,M06,2.9034,DMAC
Ph-Acr_1,M062X,2.6879,acetonitrile
Ph-Acr_1,M06,2.4941,acetonitrile
Ph-Acr_1,PBE-D3,1.9134,acetonitrile
PTZ_2,PBE-D3,1.8233,DMAC
PTZ_2,M062X,3.959,DMAC
PTZ_2,M06,3.1937,DMAC
BOH-Acr_p,PBE-D3,2.3339,dichloromethane
BOH-Acr_p,M06,2.2779,dichloromethane
BOH-Acr_p,M062X,2.5914,dichloromethane
Rh_6G,M062X,2.4693,methanol
Rh_6G,M06,2.4081,methanol
Rh_6G,PBE-D3,1.9149,methanol
POZ_1,M06,2.5398,DMAC
POZ_1,PBE-D3,1.6876,DMAC
POZ_1,M062X,2.8257,DMAC
