molecule,functional,lambda_abs_max,solvent
PTZ_1,M062X,271.07,DMAC
PTZ_1,B2PLYP,304.3,DMAC
PTZ_1,TDHF,229.49,DMAC
PTZ_1,B97D3,371.12,DMAC
PTZ_1,B3LYP-D3,314.9,DMAC
PTZ_1,DSD-BLYP,371.9,DMAC
PTZ_1,CAM-B3LYP-D3,268.68,DMAC
PTZ_1,$\omega$-PBEPP86,275.1,DMAC
PTZ_1,PBE-D3,380.23,DMAC
PTZ_1,$\omega$-B97XD,266.45,DMAC
PTZ_1,SCS-PBE-QIDH,284.7,DMAC
PTZ_1,TPSS,363.59,DMAC
PTZ_1,M06,300.21,DMAC
PTZ_1,M06L,342.98,DMAC
PTZ_1,B2GP-PLYP,288.8,DMAC
PTZ_1,$\omega$-B2PLYP,265.3,DMAC
CA_2,CAM-B3LYP-D3,367.13,acetonitrile
CA_2,B2GP-PLYP,422.9,acetonitrile
CA_2,$\omega$-B97XD,365.18,acetonitrile
CA_2,$\omega$-B2PLYP,365.1,acetonitrile
CA_2,B3LYP-D3,452.08,acetonitrile
CA_2,TPSS,559.3,acetonitrile
CA_2,SCS-PBE-QIDH,420.7,acetonitrile
CA_2,B97D3,568.33,acetonitrile
CA_2,TDHF,268.21,acetonitrile
CA_2,PBE-D3,578.12,acetonitrile
CA_2,B2PLYP,443.6,acetonitrile
CA_2,M06L,509.91,acetonitrile
CA_2,$\omega$-PBEPP86,405.3,acetonitrile
CA_2,DSD-BLYP,824.9,acetonitrile
CA_2,M06,422.56,acetonitrile
CA_2,M062X,372.92,acetonitrile
NCE_3,PBE-D3,477.3,acetonitrile
NCE_3,M06,372.18,acetonitrile
NCE_3,B2GP-PLYP,338.3,acetonitrile
NCE_3,TPSS,460.09,acetonitrile
NCE_3,$\omega$-B2PLYP,320.1,acetonitrile
NCE_3,TDHF,297.7,acetonitrile
NCE_3,CAM-B3LYP-D3,327.6,acetonitrile
NCE_3,$\omega$-PBEPP86,322.1,acetonitrile
NCE_3,B97D3,472.65,acetonitrile
NCE_3,B3LYP-D3,383.63,acetonitrile
NCE_3,M06L,429.52,acetonitrile
NCE_3,$\omega$-B97XD,322.36,acetonitrile
NCE_3,STEOM-DLPNO-CCSD,357.3,acetonitrile
NCE_3,DSD-BLYP,369.6,acetonitrile
NCE_3,M062X,326.13,acetonitrile
NCE_3,B2PLYP,351.8,acetonitrile
NCE_3,SCS-PBE-QIDH,336.7,acetonitrile
Ph-Acr_2,STEOM-DLPNO-CCSD,502.4,acetonitrile
Ph-Acr_2,B2PLYP,476.4,acetonitrile
Ph-Acr_2,TDHF,324.01,acetonitrile
Ph-Acr_2,M06,459.5,acetonitrile
Ph-Acr_2,DSD-BLYP,803.2,acetonitrile
Ph-Acr_2,$\omega$-B97XD,407.46,acetonitrile
Ph-Acr_2,B2GP-PLYP,462.1,acetonitrile
Ph-Acr_2,B3LYP-D3,473.89,acetonitrile
Ph-Acr_2,TPSS,539.25,acetonitrile
Ph-Acr_2,PBE-D3,557.1,acetonitrile
Ph-Acr_2,B97D3,550.12,acetonitrile
Ph-Acr_2,SCS-PBE-QIDH,467.0,acetonitrile
Ph-Acr_2,CAM-B3LYP-D3,408.77,acetonitrile
Ph-Acr_2,M062X,410.1,acetonitrile
Ph-Acr_2,$\omega$-PBEPP86,448.8,acetonitrile
Ph-Acr_2,M06L,505.35,acetonitrile
Ph-Acr_2,$\omega$-B2PLYP,411.4,acetonitrile
POZ_5,$\omega$-PBEPP86,364.2,DMAC
POZ_5,$\omega$-B97XD,343.04,DMAC
POZ_5,M062X,355.29,DMAC
POZ_5,TPSS,541.33,DMAC
POZ_5,CAM-B3LYP-D3,356.41,DMAC
POZ_5,B2PLYP,415.7,DMAC
POZ_5,M06L,515.94,DMAC
POZ_5,PBE-D3,564.28,DMAC
POZ_5,SCS-PBE-QIDH,384.6,DMAC
POZ_5,TDHF,283.89,DMAC
POZ_5,B3LYP-D3,436.94,DMAC
POZ_5,B2GP-PLYP,389.6,DMAC
POZ_5,M06,415.83,DMAC
POZ_5,B97D3,548.05,DMAC
POZ_5,$\omega$-B2PLYP,349.6,DMAC
POZ_5,DSD-BLYP,521.2,DMAC
BOH-Acr_m,SCS-PBE-QIDH,421.4,acetonitrile
BOH-Acr_m,PBE-D3,663.53,acetonitrile
BOH-Acr_m,B3LYP-D3,458.59,acetonitrile
BOH-Acr_m,DSD-BLYP,611.9,acetonitrile
BOH-Acr_m,$\omega$-B97XD,371.1,acetonitrile
BOH-Acr_m,TDHF,310.37,acetonitrile
BOH-Acr_m,M062X,377.23,acetonitrile
BOH-Acr_m,$\omega$-PBEPP86,406.9,acetonitrile
BOH-Acr_m,M06,425.57,acetonitrile
BOH-Acr_m,CAM-B3LYP-D3,374.26,acetonitrile
BOH-Acr_m,B2GP-PLYP,418.6,acetonitrile
BOH-Acr_m,B97D3,645.96,acetonitrile
BOH-Acr_m,TPSS,624.54,acetonitrile
BOH-Acr_m,B2PLYP,428.2,acetonitrile
BOH-Acr_m,M06L,578.46,acetonitrile
BOH-Acr_m,$\omega$-B2PLYP,380.9,acetonitrile
PDI_1,$\omega$-B97XD,462.82,dichloromethane
PDI_1,M062X,466.66,dichloromethane
PDI_1,CAM-B3LYP-D3,472.04,dichloromethane
PDI_1,TPSS,604.52,dichloromethane
PDI_1,DSD-BLYP,664.2,dichloromethane
PDI_1,$\omega$-B2PLYP,478.3,dichloromethane
PDI_1,TDHF,395.86,dichloromethane
PDI_1,B2GP-PLYP,520.9,dichloromethane
PDI_1,$\omega$-PBEPP86,494.6,dichloromethane
PDI_1,B2PLYP,540.3,dichloromethane
PDI_1,M06L,578.56,dichloromethane
PDI_1,B3LYP-D3,551.03,dichloromethane
PDI_1,SCS-PBE-QIDH,518.0,dichloromethane
PDI_1,PBE-D3,619.58,dichloromethane
PDI_1,M06,533.85,dichloromethane
PDI_1,STEOM-DLPNO-CCSD,484.5,dichloromethane
PDI_1,B97D3,616.9,dichloromethane
PA_1,B97D3,493.57,DMFA
PA_1,$\omega$-B2PLYP,317.9,DMFA
PA_1,$\omega$-PBEPP86,341.2,DMFA
PA_1,M06L,446.65,DMFA
PA_1,B2PLYP,372.9,DMFA
PA_1,DSD-BLYP,578.5,DMFA
PA_1,M06,373.1,DMFA
PA_1,B2GP-PLYP,355.8,DMFA
PA_1,M062X,323.82,DMFA
PA_1,TDHF,249.22,DMFA
PA_1,SCS-PBE-QIDH,353.0,DMFA
PA_1,PBE-D3,505.75,DMFA
PA_1,$\omega$-B97XD,322.27,DMFA
PA_1,STEOM-DLPNO-CCSD,408.8,DMFA
PA_1,TPSS,476.32,DMFA
PA_1,B3LYP-D3,395.74,DMFA
PA_1,CAM-B3LYP-D3,325.64,DMFA
Me2-Acr_1,B97D3,524.02,DMFA
Me2-Acr_1,TPSS,508.11,DMFA
Me2-Acr_1,SCS-PBE-QIDH,334.5,DMFA
Me2-Acr_1,B2GP-PLYP,353.3,DMFA
Me2-Acr_1,M062X,321.46,DMFA
Me2-Acr_1,DSD-BLYP,293.2,DMFA
Me2-Acr_1,B2PLYP,376.9,DMFA
Me2-Acr_1,$\omega$-B97XD,307.09,DMFA
Me2-Acr_1,STEOM-DLPNO-CCSD,370.6,DMFA
Me2-Acr_1,$\omega$-PBEPP86,266.7,DMFA
Me2-Acr_1,PBE-D3,536.1,DMFA
Me2-Acr_1,M06,379.84,DMFA
Me2-Acr_1,$\omega$-B2PLYP,266.1,DMFA
Me2-Acr_1,M06L,470.37,DMFA
Me2-Acr_1,B3LYP-D3,410.76,DMFA
Me2-Acr_1,CAM-B3LYP-D3,315.73,DMFA
Me2-Acr_1,TDHF,257.6,DMFA
PDI_3,TDHF,381.13,dichloromethane
