molecule;lambda_max (nm);lambda_max (eV);E00 (eV);diff
DCB;290;4.28;4.01;0.27
DCN;325;3.81;3.57;0.24
DCA;422;2.94;2.90;0.04
BP;335;3.70;3.22;0.48
MK;365;3.40;2.98;0.42
XO;340;3.65;3.40;0.25
TXO;360;3.44;3.14;0.30
TPT+;415;2.99;2.83;0.16
p-OMeTPT+;470;2.64;2.34;0.30
TTPP+;414;2.99;2.64;0.35
p-OMeTTPP+;455;2.72;2.23;0.49
NMQ+;315;3.94;3.50;0.44
QuCN+;329;3.77;3.32;0.45
Mes-Acr-Me+;425;2.92;2.67;0.25
AOH+;495;2.50;2.58;-0.08
AcrF+;470;2.64;2.56;0.08
PFH+;470;2.64;2.56;0.08
PTh;300;4.13;2.80;1.33
MB+;650;1.91;1.89;0.02
FL;437;2.84;2.42;0.42
EY;520;2.38;2.31;0.07
RB;549;2.26;2.17;0.09
RhB;550;2.25;2.22;0.03
Rh6G;530;2.34;2.32;0.02
DAP2+;418;2.97;3.00;-0.03
PDI;521;2.38;2.35;0.03
