functional,E(M+/M)_shift,E(M/M-)_shift
$\omega$-PBEPP86,-0.8200000000000001,0.21999999999999997
$\omega$-B2PLYP,-0.020000000000000018,0.3400000000000001
B2PLYP,0.19999999999999996,0.40000000000000013
B2GP-PLYP,-0.040000000000000036,0.45999999999999996
SCS-PBE-QIDH,-0.24,0.3400000000000001
DSD-BLYP,-0.21999999999999997,0.56
$\omega$-B97XD,0.17999999999999994,0.19999999999999996
CAM-B3LYP,0.17999999999999994,0.15999999999999992
B3LYP,0.3600000000000001,0.19999999999999996
M06,0.24,0.15999999999999992
M062X,0.020000000000000018,0.1200000000000001
M06L,0.54,0.24
TPSS,0.52,0.19999999999999996
B97D3,0.5800000000000001,0.26
PBE,0.45999999999999996,0.15999999999999992
