molecule,E_solv_oxidized,E_solv_neutral,E_solv_reduced,dE_ox,dE_red,neutral_charge,functional
BF3-Acr_m,-87.21,-49.31,-66.54,37.89999999999999,-17.230000000000004,0,B2PLYP
BF3-Acr_o,-73.64,-39.32,-66.42,34.32,-27.1,0,B2PLYP
BF3-Acr_p,-87.82,-50.85,-66.24,36.96999999999999,-15.389999999999993,0,B2PLYP
BOH-Acr_m,-142.0,-53.35,-24.1,88.65,29.25,1,B2PLYP
BOH-Acr_o,-143.27,-53.63,-22.55,89.64000000000001,31.080000000000002,1,B2PLYP
BOH-Acr_p,-143.27,-53.85,-23.87,89.42000000000002,29.98,1,B2PLYP
CA_1,-74.42,-43.59,-69.43,30.83,-25.840000000000003,0,B2PLYP
CA_3,-72.66,-36.65,-62.83,36.01,-26.18,0,B2PLYP
Eos_1,-64.87,-148.22,-290.33,-83.35,-142.10999999999999,-2,B2PLYP
Eos_2,-57.96,-131.33,-262.35,-73.37,-131.02,-2,B2PLYP
Eos_3,-71.13,-149.43,-282.4,-78.30000000000001,-132.96999999999997,-2,B2PLYP
Eos_Y,-54.51,-136.18,-281.57,-81.67000000000002,-145.39,-2,B2PLYP
Me2-Acr_1,-49.88,-14.17,-52.45,35.71,-38.28,0,B2PLYP
Me2-Acr_2,-57.28,-28.93,-54.08,28.35,-25.15,0,B2PLYP
Me2-Acr_3,-65.84,-27.19,-50.56,38.650000000000006,-23.37,0,B2PLYP
Mes-Acr_1,-149.43,-52.64,-15.76,96.79,36.88,1,B2PLYP
NCE_1,-57.25,-18.1,-53.2,39.15,-35.1,0,B2PLYP
NCE_2,-56.93,-19.24,-55.2,37.69,-35.96000000000001,0,B2PLYP
NCE_3,-55.95,-23.35,-51.2,32.6,-27.85,0,B2PLYP
NCE_4,-60.02,-31.64,-56.74,28.380000000000003,-25.1,0,B2PLYP
PA_1,-50.82,-17.24,-51.28,33.58,-34.040000000000006,0,B2PLYP
PA_3,-66.18,-23.32,-48.83,42.86000000000001,-25.509999999999998,0,B2PLYP
PDI_1,-62.07,-23.88,-45.73,38.19,-21.849999999999998,0,B2PLYP
PDI_2,-59.13,-23.17,-43.59,35.96,-20.42,0,B2PLYP
PDI_3,-77.01,-48.21,-67.56,28.800000000000004,-19.35,0,B2PLYP
POZ_1,-57.56,-28.25,-53.48,29.310000000000002,-25.229999999999997,0,B2PLYP
POZ_2,-52.97,-20.89,-51.04,32.08,-30.15,0,B2PLYP
POZ_3,-49.92,-15.26,-52.57,34.660000000000004,-37.31,0,B2PLYP
POZ_4,-49.02,-11.58,-48.47,37.440000000000005,-36.89,0,B2PLYP
POZ_5,-56.48,-26.34,-51.99,30.139999999999997,-25.650000000000002,0,B2PLYP
PTZ_1,-48.27,-11.96,-48.72,36.31,-36.76,0,B2PLYP
PTZ_2,-49.18,-13.25,-49.7,35.93,-36.45,0,B2PLYP
PTZ_3,-48.25,-14.18,-54.69,34.07,-40.51,0,B2PLYP
Ph-Acr_1,-156.65,-49.86,-18.17,106.79,31.689999999999998,1,B2PLYP
Ph-Acr_2,-162.08,-51.38,-15.58,110.70000000000002,35.800000000000004,1,B2PLYP
Rh_6G,-146.16,-51.41,-23.87,94.75,27.539999999999996,1,B2PLYP
Rh_B,-143.57,-50.58,-23.98,92.99,26.599999999999998,0,B2PLYP
