molecule,E_solv_oxidized,E_solv_neutral,E_solv_reduced,dE_ox,dE_red,neutral_charge,functional
BF3-Acr_m,-89.8,-50.63,-67.71,39.169999999999995,-17.07999999999999,0,$\omega$-B2PLYP
BF3-Acr_o,-78.82,-40.37,-67.79,38.449999999999996,-27.42000000000001,0,$\omega$-B2PLYP
BF3-Acr_p,-89.41,-52.34,-67.41,37.06999999999999,-15.069999999999993,0,$\omega$-B2PLYP
BOH-Acr_m,-146.59,-54.27,-25.25,92.32,29.020000000000003,1,$\omega$-B2PLYP
BOH-Acr_o,-147.71,-54.48,-23.57,93.23000000000002,30.909999999999997,1,$\omega$-B2PLYP
BOH-Acr_p,-147.91,-54.79,-25.0,93.12,29.79,1,$\omega$-B2PLYP
CA_1,-80.73,-46.57,-73.2,34.160000000000004,-26.630000000000003,0,$\omega$-B2PLYP
CA_3,-76.4,-38.95,-65.76,37.45,-26.810000000000002,0,$\omega$-B2PLYP
Eos_1,-67.61,-151.3,-294.6,-83.69000000000001,-143.3,-2,$\omega$-B2PLYP
Eos_2,-60.52,-133.75,-265.97,-73.22999999999999,-132.22000000000003,-2,$\omega$-B2PLYP
Eos_3,-74.92,-153.43,-288.43,-78.51,-135.0,-2,$\omega$-B2PLYP
Eos_Y,-56.51,-137.55,-283.18,-81.04000000000002,-145.63,-2,$\omega$-B2PLYP
Me2-Acr_1,-50.58,-15.31,-54.28,35.269999999999996,-38.97,0,$\omega$-B2PLYP
Me2-Acr_2,-61.01,-31.4,-66.51,29.61,-35.11000000000001,0,$\omega$-B2PLYP
Me2-Acr_3,-68.26,-28.92,-60.44,39.34,-31.519999999999996,0,$\omega$-B2PLYP
Mes-Acr_1,-146.31,-53.08,-16.64,93.23,36.44,1,$\omega$-B2PLYP
NCE_1,-58.99,-19.26,-55.15,39.730000000000004,-35.89,0,$\omega$-B2PLYP
NCE_2,-57.85,-20.46,-57.15,37.39,-36.69,0,$\omega$-B2PLYP
NCE_3,-58.94,-24.88,-54.64,34.06,-29.76,0,$\omega$-B2PLYP
NCE_4,-67.66,-33.66,-60.86,34.0,-27.200000000000003,0,$\omega$-B2PLYP
PA_1,-51.42,-18.22,-58.42,33.2,-40.2,0,$\omega$-B2PLYP
PA_3,-67.1,-24.35,-58.03,42.74999999999999,-33.68,0,$\omega$-B2PLYP
PDI_1,-63.14,-24.74,-46.55,38.400000000000006,-21.81,0,$\omega$-B2PLYP
PDI_2,-59.78,-23.75,-44.15,36.03,-20.4,0,$\omega$-B2PLYP
PDI_3,-79.64,-50.7,-70.23,28.939999999999998,-19.53,0,$\omega$-B2PLYP
POZ_1,-60.63,-30.53,-65.45,30.1,-34.92,0,$\omega$-B2PLYP
POZ_2,-55.02,-22.52,-58.54,32.5,-36.019999999999996,0,$\omega$-B2PLYP
POZ_3,-50.98,-16.37,-55.54,34.61,-39.17,0,$\omega$-B2PLYP
POZ_4,-49.51,-12.37,-53.4,37.14,-41.03,0,$\omega$-B2PLYP
POZ_5,-59.46,-28.43,-63.56,31.03,-35.13,0,$\omega$-B2PLYP
PTZ_1,-48.56,-12.82,-53.15,35.74,-40.33,0,$\omega$-B2PLYP
PTZ_2,-49.55,-14.24,-59.43,35.309999999999995,-45.19,0,$\omega$-B2PLYP
PTZ_3,-49.2,-15.22,-56.63,33.980000000000004,-41.410000000000004,0,$\omega$-B2PLYP
Ph-Acr_1,-157.5,-50.43,-19.22,107.07,31.21,1,$\omega$-B2PLYP
Ph-Acr_2,-163.71,-51.96,-16.56,111.75,35.400000000000006,1,$\omega$-B2PLYP
Rh_6G,-146.95,-52.02,-25.12,94.92999999999998,26.900000000000002,1,$\omega$-B2PLYP
Rh_B,-144.28,-51.24,-25.08,93.03999999999999,26.160000000000004,0,$\omega$-B2PLYP
